kCluster;avgMae;avgMse;min;max;numClustersWithOneElement;RSS;numRuns
2;0.931365178629017;0.872403920313963;568;1041;0;1411.7458022953394;2
4;0.9257075080149781;0.8717048810788541;30;1033;0;1403.3868472922538;2
6;0.9214916666982135;0.8583563967469409;48;373;0;1367.4177218543416;3
8;0.9125879807898427;0.8439623365839133;87;488;0;1346.2428247289804;2
10;0.9164867784758106;0.8492357351262474;38;335;0;1340.8146434203452;3
12;0.9241494902480306;0.8610038822472044;7;333;0;1340.7452274019638;4
14;0.9076277113464617;0.835459582453978;27;259;0;1308.1012521181856;3
16;0.9165499591181783;0.8505200753120018;20;312;0;1324.7990197177253;2
18;0.9098727619997106;0.8403456180745124;14;213;0;1316.3562894128577;6
20;0.9102823224582364;0.8358649111810156;1;315;1;1306.458364567906;2
22;0.9172302179959435;0.8455059042535019;16;269;0;1311.4182148788764;3
24;0.9010229271694251;0.8280937938178532;9;211;0;1286.471239232077;3
26;0.9083655189765895;0.8339161806921631;8;183;0;1288.3966188916268;3
28;0.911107035961848;0.8361851720955239;8;234;0;1286.518787284699;3
30;0.8972261124914094;0.8210421022301012;3;217;0;1277.7558818307361;3
32;0.9051462650158155;0.8326973862818314;1;261;1;1284.6329364285941;4
34;0.908298768937496;0.8316806562472978;5;288;0;1285.9378251408489;2
36;0.9061284691502346;0.829775920040338;3;273;0;1273.270337660348;3
38;0.9022003719824533;0.8240115179939235;5;156;0;1250.8472337546357;3
40;0.8972571367265415;0.8179539350280646;6;165;0;1259.383611759993;3
42;0.8885052380567933;0.8087906720656848;1;198;1;1254.6840082348008;3
44;0.8901725820966164;0.8095415203400834;4;168;0;1252.3869781090677;3
46;0.8953668063814044;0.8160297047131837;4;199;0;1253.0827579865029;5
48;0.8889646413367354;0.8047397685835445;5;206;0;1239.393273135403;3
50;0.893812264515913;0.8108475434502088;3;192;0;1228.9737124260387;4
52;0.8901138593843257;0.8096316271775271;1;237;1;1239.080735489157;3
54;0.886364172426092;0.8023800781088383;1;235;1;1233.4831289136264;4
56;0.8793630565533582;0.7946968596428473;4;160;0;1226.607948029902;3
58;0.8886999680904822;0.8062116121253075;3;146;0;1226.3442096209565;4
60;0.8880381640178977;0.8029701426949565;3;169;0;1213.8170553708965;5
62;0.8877649196632781;0.8040260617933953;1;176;1;1214.969961921902;3
64;0.8840940548645048;0.7967227469480919;2;194;0;1213.1640969710456;4
66;0.8880601709359598;0.8014357439237244;2;156;0;1209.7889607565432;4
68;0.8804927990770803;0.7909023477885052;1;143;1;1205.9083173451102;3
70;0.8883362368930102;0.8001583431410256;3;186;0;1202.927331270179;4
72;0.8814953713333441;0.795608998196713;1;193;1;1200.2634197042892;3
74;0.8794078173492345;0.7908288273662053;1;154;1;1197.4553347462152;2
76;0.8894622863315159;0.8035439851764715;1;263;1;1205.6304288741821;3
78;0.8782177214883132;0.7901585872721278;2;150;0;1193.8211091933877;3
80;0.8833986842475723;0.7957107104809483;1;225;1;1197.5808684624305;4
82;0.8772508520088304;0.7843857232164572;1;197;1;1184.7777857706174;3
84;0.8860129115112594;0.7936925009918973;1;153;2;1179.8207722185718;3
86;0.8754437393329757;0.7854209829483637;1;213;3;1180.3741886639837;3
88;0.8732274525852467;0.7845972151685484;3;174;0;1165.9391227116535;4
90;0.8830206193207455;0.7959546378457056;2;157;0;1179.1685598854428;3
92;0.8767119263119224;0.7846920040559112;1;228;1;1176.320054974034;3
