Pretending To Sleep;2
Deranged Man;1
Exodus;1
Independent Film;527
Asthma Inhaler;1
Television Addiction;2
Ex Prisoner;1
Debt Collector;1
Terrorist;30
Argentine President;1
Tunnel;26
Titanic;4
Humming;4
1540s;1
Bus Stop;6
Canter's Deli Los Angeles;1
Golden Retriever;8
Game Of Death;2
Purity;3
Fishing Village;1
Feminine Deodorant Spray;1
Organ Player;1
Identifying Dead Body;1
Motor Boat;3
Insect Attack;3
Powerboat Racing;1
House Tour;1
Bull Riding;1
Murder Of Son;6
Chronicle;1
Reference To The Fantastic Four;3
Freedom Of Choice;1
Sucking On One's Finger;1
Reference To Stuart Little;1
Guardian Angel;4
Gun Range;1
Man Against Nature;1
No Opening Credits;51
Mill;3
Desert Eagle;20
Newspaper Clippings;3
Black Death;2
Flying Monkey;1
Spontaneous Choreography;3
Music Hall;3
Agency;1
Dinosaur Skeleton;1
Self Defense Class;1
Marseilles France;3
Boating Accident;1
Sexual Joke;2
Art Book;1
Pillow Feathers;2
Enema;3
Atomic Bomb;3
Braggadocio;1
Toilet Bowl;1
Forensic Evidence;2
Hood;2
Tampico Mexico;1
Reagan On Television;1
Pillaging;1
Celtic Mythology;1
Year 1947;2
Radio Talk Show;1
Honda;2
Unarmed Man Killed;2
Paint Thinner;1
Bride And Groom;12
Nuclear Winter;2
Taking A Pill;1
Waterfall;29
Experimental Film;9
Search For Son;1
Gold Watch;2
Rhyme;2
Sobriety Test;1
Printing Shop;1
Veterans Administration;1
Exhaust Shaft;1
Overlord;1
Battle Of Wits;3
Engineering;2
Repressed Memory;2
Firearms Industry;1
Mexican;10
Shot In The Forehead;57
Employer Employee Relationship;15
One Eyed Man;4
Breath Control;1
Warring Gangs;2
Unwanted Houseguest;1
Israeli Government;1
Con;7
Panhandle;1
Queen;17
Arm In Cast;2
Buttermilk;1
Dolentina;1
Early 20th Century;1
Code Breaking;2
Operating Room;6
Multiple Personality;5
Trumpet;9
Bacon;1
Stirrups;1
Human Nature;2
Sniper Rifle;13
Europe;8
Undead;14
Golf Cart;2
Actor Director;2
Gunshot;19
Chalkboard;5
Repeating Rifle;2
Fiber;1
Muse;3
Rude Waiter;1
Rag Bone Hank Of Hair;1
Reference To Lou Gehrig;2
Watching A Cartoon On TV;4
Gun Salute;2
Tinker Bell;1
Sunrise;7
Wind Chime;2
Hockey Player;1
Smoke Grenade;1
Interstate Highway;1
Medical Treatment;2
Sex In A Motel;1
Paraplegic;13
Doberman;5
Deadwood South Dakota;1
Sky Diving;1
Framed;22
Eyepatch;2
Sadistic;1
Accidental Fire;2
War Refugee;1
Bloody Spray;4
Sex With A Student;1
Mouse;12
Coal Miner;3
Loss Of Son;16
Heirloom;1
High School Graduation;7
Car Run Over;1
Ferry Accident;1
Reference To Rita Hayworth;3
Posse;2
Psychological Thriller;4
Law Firm;5
Mauling;1
Glass Harp;1
Cardsharp;1
Psychedelic Image;1
Based On Journal;2
Barmaid;1
Dance Hall Singer;1
Hand Camera;1
Mint;1
Glass Slipper;1
Whistle;13
Peace Activist;1
Signet;1
Self Referential;10
Art Patronage;1
Dark Fantasy;8
Pushed Off Balcony;1
Filing Cards;1
Reference To Johnny Depp;1
Deformed Ear;1
Watercolor;1
Child Shot In The Head;1
Riding A Bus;1
San Francisco Giants;1
Picking Lock;1
Crooked Cop;8
Movie Producer;7
Eisteddfod;1
Unreliable Flashback;1
Whisky A Go Go;1
Parcheesi;1
Smelting Works;1
Electric Cable;3
Oil Well;7
Defusing A Bomb;2
Arm Blown Off;7
Mason;1
Chain Lock;1
Bank Robbery;26
Sporting Goods Store;1
Stuck In Elevator;1
Measles;2
Woman Reporter;2
Playing With Food;4
Old Enemy;1
Horseshoe;1
Time Paradox;1
Reference To Bram Stoker;1
Myth;2
Karaoke Bar;1
Teenage Girl In Underwear;6
Framed For Drunk Driving;1
Secret Chamber;1
Tortured To Death;3
Emigre;1
Classical Music Score;2
Indian Food;1
Evil Brother;1
Oral Sex In Car;3
Montpellier France;2
Goodbye;12
Title Spoken By Narrator;3
Deer;10
Remarriage;3
Partner;20
Infidelity;119
Language Barrier;10
Emaciation;1
Ice Cream Parlor;2
Nintendo;1
Vagina;25
Crime Fighter;7
Primatologist;1
Northern Italy;1
Flirt;4
Funeral Caisson;1
Live Audience;1
Subject Name In Title;1
Song Stuck In Mind;1
Shooting A Dog;2
Wood Carving;1
Satanism;3
Boston Red Sox;1
Film Student;1
Panama City Beach Florida;1
Cyberpunk;19
Visions Of Cody;1
Bricklaying;1
Idealism;16
Female Vampire;6
Masturbation With A Toy;1
Laptop Computer;7
Burning Corpse;2
Bully;35
Mine Disaster;1
Three Wise Men;1
Vietnam;14
Cambridge Massachusetts;2
Munchies;1
Poisoned;1
Cargo Plane;2
Opening Day;1
Kidnapped Wife;3
Thirst;4
Nanomachine;1
Loan Shark;8
Our Gang;1
Shave;1
Life Debt;2
Kneeling;3
Mandrake;1
Adolescent;4
Winnie The Pooh;1
Transatlantic;4
Beauty Operator;1
Sable;1
Appointment;1
Stamp;2
Moving Man;1
Teenage Girl In Swimwear;1
Jet Pack;3
Reference To Catcher In The Rye;3
Bar Band;1
Rooftop Fight;2
Keno The Game;1
Livery Stable;1
Life Flashes Before Eyes;1
Armored Vehicle;1
Selective Mutism;4
Realiza Sicily;1
Military Tribunal;1
Neil Young;1
Bag;6
Alien Life Form;4
Fake Drunkenness;1
Cavern;5
Prankster;1
Buenos Aires Argentina;3
Scientologist;1
Elderly;7
Gathering Mushrooms;1
Search For Parent;1
Family Discord;1
Flogging;2
Bubble Wrap;2
Crime Against Humanity;1
Big Truck;1
Oscars;2
Cleaning A Car;1
Self Sacrifice;37
Freeze Frame;23
Drilling For Oil;1
Anti Villain;7
Stand Up Comedy;3
Irish Free State Army;1
Faked Death;20
Test Lab;1
Train Crash;5
Fake Passport;1
Suicide By Gunshot;10
Waste;2
Troubled Production;2
Plain Jane;1
Taking A Picture;1
Harmonica Player;1
Easter;2
Angora;1
Doorknob;1
Four Year Old;1
Star Case;1
Flying Machine;2
Caregiver;2
Reluctant Hero;8
Plea Bargain;3
Stealing;20
Jumping From A Boat;1
Cigar;2
Panning For Gold;1
Timbering;1
Turning Into An Animal;1
Atlantic Ocean;2
Star Wars Toy;1
Time Warp;1
Dental Patient;1
Actor Name In Title;2
Karposi Sarcoma;1
Degeneration;1
Can Can Dancer;1
Reference To The Rolling Stones;1
Wisconsin;5
U.S. National Anthem;1
Playing Catch;1
Slacker;11
Burning Vehicle;1
Crack Addict;1
Female Criminal;6
Voice Box Vibrator;1
Burglar Alarm;3
Cleaning;1
Driving Cap;1
Reference To Steinlen;1
Collection;1
Shiner;2
Turkish Bey;1
Chained To A Toilet;1
Sea Mine;1
Knockout Gas;1
Impertinence;1
Battle Creek Michigan;1
Two Man Crew;1
Empire Fashion;4
Tar;2
Cold;1
Cold Blooded Murder;3
Recreation Center;1
Cat Figurine;1
Jewish Caricature;1
Horseback Riding;4
Bloody Scratch On One's Back;1
Succession To The Throne;1
Flesh Burn;1
Pig Blood;2
Humor;14
Explosion If Vehicle Stops;2
Barcelona Spain;2
Holding Head Under Water;1
Victim Fights Back;1
Tomato;4
Child Destroys Own Toy;1
El Rey Hollywood;1
Stunt;1
Entire Title Is Capitalized Acronym;3
Five Generations;1
Crossing A Stream;1
Dead Body In A Bathtub;2
Ethnic Differences;1
Airplane Runway;1
Reservoir;1
Australian House Of Representatives;1
Would Be Suicide;1
Military Parade;1
Chimney;4
Cornwall England;2
Cheating On One's Boyfriend;1
Witch Trial;1
Head Bashed In;3
Rewound Film Sequence;1
Rude Frenchman;1
Gift Of Flowers;1
End Of Friendship;1
Angel Dust;1
Astrophysicist;1
Disappearance;8
Master Of Hounds;1
Creator Creation Relationship;3
Numerology;1
Fast Food;7
