11#1;0.9429641302695039#2;0.8766307322758736#3;0.9440107489044146#4;0.9159098818509651#5;0.7962280968687118#6;0.9445129047976906#7;0.8703047500339698#8;0.957812854047133#9;0.9288181601253658#10;0.911220647676305#11;0.0#12;0.8541206382748406#13;0.91695452014626#14;0.9520536698514616#15;0.9515462871487825#16;0.9412779780485296#17;0.8587529153707725#18;0.9826838204282088#19;0.9284491360883231#20;0.9483315093555778#21;0.979238630036565#22;0.8616121622614463#23;0.8125126266877816#24;0.883150613304902#25;0.9472660675589163#26;0.9559584835363972#27;0.8285325426524917#28;0.9560014299302912#29;0.8571468949936715#30;0.8855635576342021#31;0.9814304661822948#32;0.9566309125880345#33;0.8433004288798519#34;0.8904251521617745#35;0.9307954334552166#36;0.9529176384569241#37;0.9539346560295121#38;0.9461129769585608#39;0.7388588003276224#40;1.0#41;0.9434947080315992#42;0.9145469062156173#43;0.933563616117008#44;0.8700132632760637#45;1.0#46;0.8537650639930566#47;0.9387236646654629#48;0.9760268349257308#49;1.0#50;0.9541302634692762#
12#1;0.9061648709355559#2;0.8459629200377907#3;0.9210457966048278#4;0.8902026635412781#5;0.9154845745271484#6;0.9087129070824723#7;0.8933130100661837#8;0.9876060566796041#9;0.9302928519322476#10;0.9739179734521349#11;0.8541206382748406#12;0.0#13;1.0#14;1.0#15;0.9715300688313135#16;0.9539956293771764#17;0.8985647218850439#18;0.918604307244352#19;0.9082739283662862#20;0.9190431012374778#21;0.9024099927051467#22;0.8716118522467261#23;0.8784420517763862#24;0.8921101875049751#25;0.9628181700388123#26;0.9309934440657646#27;0.8544735595771153#28;0.9482955510447012#29;0.8409630858987813#30;0.9482773995788252#31;0.9781782109764008#32;0.9490352808562375#33;0.8567770251921134#34;0.871234289708505#35;0.9512049963525734#36;1.0#37;0.9729334019019616#38;0.9525064309854022#39;0.8428189504013248#40;1.0#41;0.9734393642370135#42;0.9497903554746566#43;0.9414459956230881#44;0.912712843905603#45;0.970575505683175#46;0.8539305423691677#47;0.9588524400101088#48;0.9436563830180988#49;0.9649446345300254#50;0.8832094512209996#
13#1;1.0#2;0.9767880827278685#3;0.9662900068768379#4;1.0#5;1.0#6;0.9665923447609469#7;0.9609565595278485#8;0.9047499047498572#9;1.0#10;1.0#11;0.91695452014626#12;1.0#13;0.0#14;1.0#15;1.0#16;0.9410744349011211#17;1.0#18;1.0#19;0.9608369775006022#20;0.9222286228952181#21;1.0#22;0.9342206485519728#23;0.9221501055838477#24;1.0#25;1.0#26;0.8674174785275224#27;0.9426460665323596#28;0.9668866910733739#29;0.9547321269787408#30;0.867500264999205#31;1.0#32;1.0#33;0.973792879081952#34;0.9805962368573417#35;0.9583333333333334#36;0.9527544408738466#37;1.0#38;1.0#39;0.9233035011152629#40;1.0#41;1.0#42;1.0#43;0.9#44;0.9720491502812526#45;0.9246221638555591#46;0.9119549093674376#47;1.0#48;1.0#49;1.0#50;1.0#
14#1;1.0#2;0.9463943732581103#3;0.9610750527919238#4;0.9350430197538369#5;0.9583333333333334#6;0.9228483250189541#7;0.9549165182666284#8;0.9633382212446617#9;0.9587606950578839#10;1.0#11;0.9520536698514616#12;1.0#13;1.0#14;0.0#15;1.0#16;1.0#17;0.9454455274410019#18;1.0#19;1.0#20;0.9700657829955375#21;0.9278312163512967#22;0.9746815158229083#23;0.9775266712512253#24;1.0#25;0.9266764424893233#26;1.0#27;0.9668866910733739#28;0.9617640443549064#29;0.9738645813255342#30;0.9388009938637896#31;1.0#32;1.0#33;0.9394772467331197#34;1.0#35;1.0#36;0.9454455274410019#37;0.9199359230974564#38;1.0#39;1.0#40;1.0#41;1.0#42;0.9752463114255832#43;0.9422649730810374#44;0.9031754163448146#45;1.0#46;1.0#47;0.9391419380549816#48;1.0#49;1.0#50;1.0#
15#1;0.9799639025074784#2;1.0#3;1.0#4;1.0#5;0.978946201973337#6;0.9415239118310912#7;0.9772197155499243#8;0.9259005102195428#9;0.9791621440717293#10;0.9610159412207275#11;0.9515462871487825#12;0.9715300688313135#13;1.0#14;1.0#15;0.0#16;0.9656192917913735#17;1.0#18;1.0#19;0.8857497211218696#20;0.9546235149593257#21;1.0#22;0.961620381841186#23;0.9318665548772558#24;1.0#25;0.9073756377744284#26;0.8968578753741206#27;0.9665362759294873#28;0.9227188395992084#29;0.9735880083465049#30;0.9536150254735258#31;1.0#32;0.9238244925821462#33;1.0#34;0.9320720861000557#35;0.9270675042510528#36;0.8897364307160057#37;0.9595443302968633#38;1.0#39;1.0#40;1.0#41;0.8610520220257368#42;0.9124452611770045#43;1.0#44;0.9184589908683197#45;1.0#46;0.9229438216206995#47;0.938497919464741#48;0.8736772118400221#49;1.0#50;1.0#
16#1;0.9676238045880912#2;1.0#3;0.9364358273836272#4;0.973481423860809#5;1.0#6;1.0#7;0.9631894913083845#8;1.0#9;0.9663282485149263#10;1.0#11;0.9412779780485296#12;0.9539956293771764#13;0.9410744349011211#14;1.0#15;0.9656192917913735#16;0.0#17;0.9331846895218939#18;1.0#19;0.8707686190216006#20;0.8533528849786467#21;0.9410744349011211#22;0.9173101769405276#23;0.9816506039145606#24;1.0#25;1.0#26;0.9583333333333334#27;0.9729630964782062#28;1.0#29;0.978660520011184#30;0.9000624414672185#31;1.0#32;0.9589695030068891#33;0.97529168944463#34;0.8536476533470796#35;1.0#36;1.0#37;0.803883864861816#38;1.0#39;0.9276898473937812#40;1.0#41;1.0#42;1.0#43;0.9528595479208968#44;0.9736476861652635#45;1.0#46;0.7717233043329469#47;1.0#48;1.0#49;1.0#50;1.0#
17#1;0.9740412934174417#2;0.9034939191277555#3;0.9108117414984155#4;0.8830581047202953#5;0.9045296730217534#6;0.9621192795792921#7;0.9188363162861186#8;1.0#9;0.9055088817476932#10;0.9494923727723895#11;0.8587529153707725#12;0.8985647218850439#13;1.0#14;0.9454455274410019#15;1.0#16;0.9331846895218939#17;0.0#18;0.9408917195320674#19;0.9407910753582663#20;0.9706051824373892#21;0.9291316613107699#22;0.8922635490785832#23;0.8675897755742876#24;0.9335229970652112#25;0.975999231963134#26;0.9832961723804735#27;0.9024501284285364#28;0.962453036925868#29;0.8802324656048979#30;0.9599358459892497#31;0.9788711436317871#32;0.9835512076260058#33;0.8316088690030554#34;0.8459874046771749#35;1.0#36;0.9821428571428571#37;0.9475857581639041#38;0.9540145495386275#39;0.9057872067064772#40;0.9770825375742948#41;0.974282775006318#42;0.9513847207335877#43;0.9622035526990773#44;0.9683067154476807#45;1.0#46;0.9334441674360279#47;0.9501988079444003#48;0.9727227637205009#49;1.0#50;0.9478083249520585#
18#1;0.9140750274810693#2;1.0#3;0.8875356885768934#4;0.9530805911151412#5;1.0#6;1.0#7;0.983717759774354#8;0.9735186429333812#9;1.0#10;1.0#11;0.9826838204282088#12;0.918604307244352#13;1.0#14;1.0#15;1.0#16;1.0#17;0.9408917195320674#18;0.0#19;0.8693431249733443#20;0.8702683749806768#21;1.0#22;1.0#23;0.9837671748814109#24;0.9790435128846022#25;0.9735186429333812#26;0.9631395109612757#27;0.976081756338253#28;1.0#29;1.0#30;1.0#31;1.0#32;0.9637022995679686#33;1.0#34;0.9676322855824507#35;0.9652475976571542#36;1.0#37;0.9421685068033759#38;0.9661744954254131#39;0.9680153489496399#40;1.0#41;1.0#42;0.9642400730073925#43;1.0#44;0.9533747595879843#45;0.9371305386538069#46;0.9449239885484476#47;1.0#48;0.9398070734571154#49;1.0#50;0.9808046922953115#
19#1;0.9677232708612851#2;0.9418208743435106#3;0.9155081459752356#4;0.9559381572222339#5;0.9660838276265399#6;0.926732693788367#7;0.9449538710440682#8;0.9303680763641121#9;0.8657267800020645#10;0.9790664839395334#11;0.9284491360883231#12;0.9082739283662862#13;0.9608369775006022#14;1.0#15;0.8857497211218696#16;0.8707686190216006#17;0.9407910753582663#18;0.8693431249733443#19;0.0#20;0.7644610572012049#21;1.0#22;0.862607028226406#23;0.9451209310012806#24;0.9842558725713031#25;0.9403154940263818#26;0.8338453673134866#27;0.9550769322635566#28;0.9585018475992649#29;0.9574521584888449#30;0.9418821908463957#31;1.0#32;0.9181911141179748#33;0.9261027952366274#34;0.8419387173939857#35;0.9477826366674695#36;0.9703955376791331#37;0.9348287912044329#38;0.9618815130062299#39;0.8618313312733921#40;1.0#41;0.9360470520608921#42;0.9529851793601432#43;0.9686695820004817#44;0.868643229230489#45;0.9527676177139094#46;0.8344906304605809#47;0.9339496793842573#48;0.9773892184176933#49;0.9296611351571427#50;0.9639475155268734#
20#1;0.985756373042428#2;0.9807442904373767#3;0.8881419696050754#4;0.9650001458324219#5;0.9850328914977687#6;0.8891452009052614#7;0.9352221411748736#8;0.9473228012304693#9;0.9555592130829818#10;1.0#11;0.9483315093555778#12;0.9190431012374778#13;0.9222286228952181#14;0.9700657829955375#15;0.9546235149593257#16;0.8533528849786467#17;0.9706051824373892#18;0.8702683749806768#19;0.7644610572012049#20;0.0#21;0.9740762076317394#22;0.8544853120804266#23;0.9677093680202344#24;0.9687347300259639#25;0.960492100922852#26;0.8533528849786467#27;0.9762106965965097#28;0.9587957178284835#29;0.9718356414122581#30;0.9230583381341723#31;1.0#32;0.9277959518568157#33;0.94564896310005#34;0.8390338794005815#35;0.9654349435089858#36;0.9412103648747785#37;0.9712401345728474#38;0.9663568444873756#39;0.952281661300949#40;1.0#41;0.9717777495555132#42;0.9377574880224119#43;0.958521932210783#44;0.9072522208479663#45;0.9374694600519278#46;0.8174029881117411#47;0.9781391388072016#48;0.9401315659910751#49;0.9813757977680766#50;0.9904540858984452#
