kCluster;avgMae;avgMse;min;max;numClustersWithOneElement;RSS;numRuns
2;0.9606935221566295;0.9239448000417547;588;1022;0;1483.4683342758117;2
4;0.9552223113987719;0.9133379117144153;8;895;0;1469.4060244657335;3
6;0.9376025551501801;0.8905208332996851;31;1019;0;1461.7108905291489;5
8;0.9339017957891231;0.8758868246894019;2;528;0;1452.182171672488;2
10;0.9394210805260995;0.8838844872769779;1;785;1;1450.899907220146;4
12;0.9466000006893661;0.8975102783312422;1;659;1;1436.8308695999644;3
14;0.8996929630929612;0.8527794775169607;3;705;0;1431.5795420874995;3
16;0.9276652072287078;0.8628029056746358;1;558;1;1417.6989750259377;4
18;0.9156124467377689;0.8485911635760661;2;476;0;1418.3040223981618;4
20;0.9231645577091352;0.8551600098214588;1;538;4;1419.383962835066;2
22;0.9049413373885719;0.8318265558114832;1;435;1;1412.0134979838729;3
24;0.9199691645473821;0.8644725232006717;1;468;1;1413.990426043832;2
26;0.9246867005688248;0.8653701473750717;1;596;5;1426.5783969477259;3
28;0.9132766438026161;0.8417901268831781;1;717;2;1416.74984525786;3
30;0.9240663815284806;0.8642505557676898;1;451;3;1410.5287214433092;4
32;0.896118477757434;0.8235615359532452;1;379;4;1410.95124091987;3
34;0.910495241231089;0.8455404520807746;1;399;2;1402.5101005485506;2
36;0.9178813037865898;0.855479966511536;1;383;3;1385.8556156547452;3
38;0.9065104821625133;0.8376520681666866;1;730;8;1402.4604797891654;3
40;0.9141379325886639;0.8399696065398518;1;506;6;1396.3253391468231;4
42;0.910889548893337;0.8391711180797475;1;285;13;1392.0252027771949;3
44;0.9025876189917211;0.8430098489971489;1;658;10;1387.7079187521226;2
46;0.8955273570456619;0.8229021696118584;1;516;8;1386.7713674151778;3
48;0.8781686367237908;0.8120937799355337;1;331;9;1375.8711935336962;3
50;0.9040768012458843;0.8340700483934067;1;542;15;1380.7841999058248;4
52;0.9077732044951381;0.8335807991984286;1;464;10;1357.7599107580756;5
54;0.9107710839463294;0.8437645553939455;1;502;17;1367.1401004157215;3
56;0.8997482724070819;0.8330736616668782;1;448;11;1361.7536888428388;3
58;0.8999023813591058;0.8228667271037944;1;351;17;1363.011912726073;3
60;0.9084490694695075;0.8358701812027213;1;299;9;1365.7137539850064;4
62;0.8719282914001658;0.7967872369512484;1;360;15;1357.132438154542;4
64;0.9008764730781028;0.8297040031351376;1;331;14;1345.399414319825;4
66;0.8805204059595663;0.8103934699138962;1;325;15;1352.0355372919846;4
68;0.8920398012270586;0.8229043226387595;1;509;17;1351.1847176245526;3
70;0.890759840599229;0.8109228633418268;1;295;20;1351.3947032641186;3
72;0.8722661068425333;0.7940827422735991;1;223;24;1350.3473170958669;3
74;0.8848843091745907;0.8140559918429284;1;218;13;1331.151584593781;3
76;0.8889457175763638;0.8118693426664626;1;401;22;1346.371296139344;3
78;0.9074233046740493;0.8438234558671437;1;280;22;1336.751349087921;3
80;0.9025677840067705;0.8329691070056467;1;314;29;1348.4079342408043;3
82;0.9092206786024242;0.8361052044140945;1;390;25;1339.4815420112513;4
84;0.8826295570202871;0.8034723451710405;1;431;30;1333.0743722391283;3
86;0.9194041771453977;0.8498245979384271;1;289;24;1330.758128872714;4
88;0.908210940908332;0.8365108752233881;1;364;32;1326.9873337966417;4
90;0.8830996087893623;0.8119760156933657;1;354;23;1320.1952837098108;3
92;0.9070212822152183;0.8397557664230002;1;281;25;1322.8778683522212;3
94;0.8900399132236098;0.815315416225414;1;384;29;1318.341970126978;3
96;0.8847092711735467;0.8161401235962673;1;344;27;1319.703177121344;3
98;0.8958186437910328;0.8163940330327835;1;299;19;1304.7349357643916;3
100;0.901832969816405;0.8308038944269948;1;336;34;1318.0265766308673;3
102;0.9008500857183096;0.8328255902520637;1;312;26;1314.7760341421483;4
104;0.9134522320774336;0.8476411646791713;1;335;35;1319.8668087827266;3
106;0.8939734901509568;0.8175439087099056;1;417;23;1302.0268648284396;3
108;0.8944044051798993;0.822575573441905;1;283;24;1291.3077468826716;4
110;0.8998643177829116;0.8258203533194745;1;351;36;1305.7244641688555;3
112;0.886769592333955;0.8081277033405488;1;227;38;1288.105571516205;3
114;0.8929702011496339;0.8194794140887696;1;325;45;1305.870100465687;3
116;0.8947035627348585;0.8266548395501472;1;259;45;1294.7671036447077;3
118;0.8915510175084553;0.8211784495601726;1;214;39;1292.5277429947105;3
120;0.8874396013981575;0.814725594850889;1;396;44;1292.259110144614;3
122;0.8839855811179957;0.8078183175850528;1;467;37;1286.562146559149;4
124;0.8856115878118016;0.8121431085575044;1;218;43;1284.5416850069703;3
126;0.884051047620811;0.8110164367150979;1;263;47;1283.731092409089;4
128;0.9025922241990137;0.8285205970234528;1;372;51;1289.2101683982369;3
130;0.9060604537438476;0.8345648859062879;1;389;47;1289.446513196785;3
132;0.8924917605350638;0.8125267577007474;1;329;36;1267.7688165400937;4
134;0.8981365473331515;0.8252421227856626;1;237;48;1276.126448489463;4
136;0.9004120713680525;0.8260893525772992;1;273;51;1278.2814658767288;4
138;0.886548128847835;0.8025803451644545;1;178;50;1254.6308132434601;3
140;0.8968966646321462;0.8183813461498898;1;265;46;1273.912569852392;4
142;0.8783260717261399;0.8063195665197583;1;370;50;1267.7964716132244;3
144;0.8881076590706515;0.81853811750023;1;247;49;1260.3519102748592;4
146;0.8829632314832218;0.8066441633166964;1;198;63;1257.4651810886176;4
148;0.8757213512723784;0.8029819624323469;1;324;66;1261.1325257278452;3
150;0.9078625997029611;0.8372970804819693;1;227;55;1267.765749867605;3
152;0.8886364751986181;0.818717238327198;1;258;66;1251.1711048093596;3
154;0.8952774150215648;0.8166081341687275;1;198;67;1250.3050666439808;3
156;0.8921212876687853;0.8124193327858645;1;351;57;1246.171669193642;3
158;0.9002589531256076;0.8230099705755493;1;228;70;1259.245644729332;3
160;0.8853458618994398;0.807783706681281;1;298;63;1249.1466568242904;3
162;0.8907342080911226;0.8163823026518794;1;278;67;1243.938538403;4
164;0.8946854644058293;0.8179218827073669;1;263;64;1237.7991732258115;4
166;0.8934445220349847;0.8187070245855304;1;289;76;1238.3229675068126;4
168;0.8873865488088764;0.8079980062190417;1;430;68;1233.8533332766908;4
170;0.8800194142023863;0.80396622273669;1;207;66;1226.4152710482333;3
172;0.8903431109544195;0.8164370069390648;1;322;74;1238.180860373876;4
174;0.9080193632630902;0.835811957734802;1;232;77;1240.2220021682674;4
176;0.8913861017957201;0.8174288605047128;1;301;73;1238.5456307223712;7
178;0.8798428354371896;0.8033704844385998;1;246;72;1227.3973848683831;3
180;0.9027433722221392;0.8302417992465071;1;187;77;1229.198758782155;4
182;0.8834593455563858;0.8075078527863604;1;284;67;1220.7885183204226;3
184;0.8931949220229867;0.8163146844677011;1;180;84;1219.8972947253328;3
186;0.882089655359739;0.8096476452894824;1;256;81;1223.3497890519998;3
188;0.8998827495981155;0.8223931526609383;1;251;82;1209.1570530935765;4
190;0.8843459991609595;0.8053460361153928;1;180;83;1215.8617620909258;4
192;0.9058307254902945;0.8333123750642281;1;168;85;1218.5022401792544;3
194;0.8912052410331408;0.8181080511570263;1;278;86;1212.0195291882774;4
196;0.8854436027849653;0.8086432421352345;1;195;85;1210.2900130975552;6
198;0.8869605991885223;0.8126136935508824;1;219;85;1213.1126748193049;5
200;0.8897251154143045;0.8124505879949662;1;257;89;1202.967778521925;4
